date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:09	232548/232548	---M--	200	added ('OK')	image/jpeg	etag:%225beee4b8-38c64%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/card/img-2.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/card/img-2.jpg	(from http://preview.uideck.com/items/inspire-pro/default/cards.html)
11:27:23	296517/296517	---M--	200	added ('OK')	image/jpeg	etag:%225beee4c4-48645%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-1.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-1.jpg	(from http://preview.uideck.com/items/inspire-pro/default/carousel.html)
11:27:33	421969/421969	---M--	200	added ('OK')	image/jpeg	etag:%225beee4b9-67051%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/card/img-1.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/card/img-1.jpg	(from http://preview.uideck.com/items/inspire-pro/default/cards.html)
11:29:17	699880/699880	---M--	200	added ('OK')	image/jpeg	etag:%225beee4c7-aade8%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-4.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-4.jpg	(from http://preview.uideck.com/items/inspire-pro/default/carousel.html)
11:29:20	806297/806297	---M--	200	added ('OK')	image/jpeg	etag:%225beee4bb-c4d99%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-3.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-3.jpg	(from http://preview.uideck.com/items/inspire-pro/default/carousel.html)
11:29:23	216927/216927	---MCZ	200	added ('OK')	text/css	etag:W/%225beee3c5-34f5f%22	http://preview.uideck.com/items/inspire-pro/default/assets/css/icons.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/css/icons.css	(from http://preview.uideck.com/items/inspire-pro/default/line-icons.html)
11:29:24	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202019%2010:29:24%20GMT	http://preview.uideck.com/items/inspire-pro/default/icons.html	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/icons.html	(from http://preview.uideck.com/items/inspire-pro/default/form-layouts.html)
11:29:25	4814/4814	---MCZ	200	added ('OK')	text/css	etag:W/%225beee48c-12ce%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/dataTables.bootstrap4.min.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/dataTables.bootstrap4.min.css	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:27	2828/2828	---MCZ	200	added ('OK')	text/css	etag:W/%225beee48b-b0c%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/buttons.bootstrap4.min.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/buttons.bootstrap4.min.css	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:28	3922/3922	---MCZ	200	added ('OK')	text/css	etag:W/%225beee483-f52%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/responsive.bootstrap4.min.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/responsive.bootstrap4.min.css	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:33	102821/102821	---M--	200	added ('OK')	image/jpeg	etag:%225beee4c9-191a5%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-6.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-6.jpg	(from http://preview.uideck.com/items/inspire-pro/default/carousel.html)
11:29:34	83268/83268	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee488-14544%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/jquery.dataTables.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/jquery.dataTables.min.js	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:34	2070/2070	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee481-816%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/dataTables.bootstrap4.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/dataTables.bootstrap4.min.js	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:36	15661/15661	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee48a-3d2d%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/dataTables.buttons.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/dataTables.buttons.min.js	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:36	863/863	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee484-35f%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/buttons.bootstrap4.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/buttons.bootstrap4.min.js	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:41	76985/76985	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee485-12cb9%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/jszip.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/jszip.min.js	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:52	1205568/1205568	---M--	200	added ('OK')	image/jpeg	etag:%225beee4c1-126540%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-2.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/carousel/img-2.jpg	(from http://preview.uideck.com/items/inspire-pro/default/carousel.html)
11:29:54	20463/20463	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee48d-4fef%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/buttons.html5.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/buttons.html5.min.js	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:55	419939/419939	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee48e-66863%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/pdfmake.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/pdfmake.min.js	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
11:29:55	1694/1694	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee482-69e%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/buttons.print.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/datatables/buttons.print.min.js	(from http://preview.uideck.com/items/inspire-pro/default/data-table.html)
